"symbol","date","close"
"MXN=X",2013-04-08,12.1785
"CL=F",2013-04-09,94.199997
"MXN=X",2013-04-09,12.1482
"CL=F",2013-04-10,94.639999
"MXN=X",2013-04-10,12.0944
"CL=F",2013-04-11,93.510002
"MXN=X",2013-04-11,12.0359
"CL=F",2013-04-12,91.290001
"MXN=X",2013-04-12,12.0716
"CL=F",2013-04-14,NA
"CL=F",2013-04-15,88.709999
"MXN=X",2013-04-15,12.2698
"CL=F",2013-04-16,88.720001
"MXN=X",2013-04-16,12.1352
"CL=F",2013-04-17,86.68
"MXN=X",2013-04-17,12.2085
"CL=F",2013-04-18,87.730003
"MXN=X",2013-04-18,12.243
"CL=F",2013-04-19,88.010002
"MXN=X",2013-04-19,12.2565
"CL=F",2013-04-21,NA
"CL=F",2013-04-22,88.760002
"MXN=X",2013-04-22,12.2603
"CL=F",2013-04-23,89.18
"MXN=X",2013-04-23,12.2415
"CL=F",2013-04-24,91.43
"MXN=X",2013-04-24,12.1739
"CL=F",2013-04-25,93.639999
"MXN=X",2013-04-25,12.1732
"CL=F",2013-04-26,93
"MXN=X",2013-04-26,12.1552
"CL=F",2013-04-28,NA
"CL=F",2013-04-29,94.5
"MXN=X",2013-04-29,12.193
"CL=F",2013-04-30,93.459999
"MXN=X",2013-04-30,12.1346
"CL=F",2013-05-01,91.029999
"MXN=X",2013-05-01,12.1911
"CL=F",2013-05-02,93.989998
"MXN=X",2013-05-02,12.1787
"CL=F",2013-05-03,95.610001
"MXN=X",2013-05-03,12.065
"CL=F",2013-05-05,NA
"CL=F",2013-05-06,96.160004
"MXN=X",2013-05-06,12.1087
"CL=F",2013-05-07,95.620003
"MXN=X",2013-05-07,12.0181
"CL=F",2013-05-08,96.620003
"MXN=X",2013-05-08,11.9805
"CL=F",2013-05-09,96.389999
"MXN=X",2013-05-09,11.9839
"CL=F",2013-05-10,96.040001
"MXN=X",2013-05-10,12.0754
"CL=F",2013-05-12,NA
"CL=F",2013-05-13,95.169998
"MXN=X",2013-05-13,12.1583
"CL=F",2013-05-14,94.209999
"MXN=X",2013-05-14,12.1884
